DATE,TIME,SPO2,PULSE
2020-10-28, 14:40:04, 93, 66
2020-10-28, 14:40:05, 94, 66
2020-10-28, 14:40:06, 94, 67
2020-10-28, 14:40:07, 94, 67
2020-10-28, 14:40:08, 94, 66
2020-10-28, 14:40:09, 94, 67
2020-10-28, 14:40:10, 94, 67
2020-10-28, 14:40:11, 94, 67
2020-10-28, 14:40:12, 94, 67
2020-10-28, 14:40:13, 94, 67
2020-10-28, 14:40:14, 94, 67
2020-10-28, 14:40:15, 94, 67
2020-10-28, 14:40:16, 94, 67
2020-10-28, 14:40:17, 94, 67
2020-10-28, 14:40:18, 94, 67
2020-10-28, 14:40:19, 94, 66
2020-10-28, 14:40:20, 94, 66
2020-10-28, 14:40:21, 93, 66
2020-10-28, 14:40:22, 93, 65
2020-10-28, 14:40:23, 93, 65
2020-10-28, 14:40:24, 93, 65
2020-10-28, 14:40:25, 93, 65
2020-10-28, 14:40:26, 94, 64
2020-10-28, 14:40:27, 94, 65
2020-10-28, 14:40:28, 94, 64
2020-10-28, 14:40:29, 94, 64
2020-10-28, 14:40:30, 93, 64
2020-10-28, 14:40:31, 93, 64
2020-10-28, 14:40:32, 93, 64
2020-10-28, 14:40:33, 93, 64
2020-10-28, 14:40:34, 93, 64
2020-10-28, 14:40:35, 93, 64
2020-10-28, 14:40:36, 93, 64
2020-10-28, 14:40:37, 93, 64
2020-10-28, 14:40:38, 93, 64
2020-10-28, 14:40:39, 93, 64
2020-10-28, 14:40:40, 93, 64
2020-10-28, 14:40:41, 93, 65
2020-10-28, 14:40:42, 93, 64
2020-10-28, 14:40:43, 93, 65
2020-10-28, 14:40:44, 93, 65
2020-10-28, 14:40:45, 93, 65
2020-10-28, 14:40:46, 93, 65
2020-10-28, 14:40:47, 94, 65
2020-10-28, 14:40:48, 94, 66
2020-10-28, 14:40:49, 94, 66
2020-10-28, 14:40:50, 94, 66
2020-10-28, 14:40:51, 94, 66
2020-10-28, 14:40:52, 94, 66
2020-10-28, 14:40:53, 94, 66
2020-10-28, 14:40:54, 93, 66
2020-10-28, 14:40:55, 93, 65
2020-10-28, 14:40:56, 93, 65
2020-10-28, 14:40:57, 93, 65
2020-10-28, 14:40:58, 93, 65
2020-10-28, 14:40:59, 93, 65
2020-10-28, 14:41:00, 93, 65
2020-10-28, 14:41:01, 93, 64
2020-10-28, 14:41:02, 93, 64
2020-10-28, 14:41:03, 93, 64
2020-10-28, 14:41:04, 93, 64
2020-10-28, 14:41:05, 93, 64
2020-10-28, 14:41:06, 93, 64
2020-10-28, 14:41:07, 93, 64
2020-10-28, 14:41:08, 93, 64
2020-10-28, 14:41:09, 93, 64
2020-10-28, 14:41:10, 93, 64
2020-10-28, 14:41:11, 93, 64
2020-10-28, 14:41:12, 93, 64
2020-10-28, 14:41:13, 93, 64
2020-10-28, 14:41:14, 93, 64
2020-10-28, 14:41:15, 93, 64
2020-10-28, 14:41:16, 93, 64
2020-10-28, 14:41:17, 93, 64
2020-10-28, 14:41:18, 94, 64
2020-10-28, 14:41:19, 94, 64
2020-10-28, 14:41:20, 93, 64
2020-10-28, 14:41:21, 93, 65
2020-10-28, 14:41:22, 93, 65
2020-10-28, 14:41:23, 93, 65
2020-10-28, 14:41:24, 93, 66
2020-10-28, 14:41:25, 93, 67
2020-10-28, 14:41:26, 93, 68
2020-10-28, 14:41:27, 93, 68
2020-10-28, 14:41:28, 93, 68
2020-10-28, 14:41:29, 93, 68
2020-10-28, 14:41:30, 94, 68
2020-10-28, 14:41:31, 94, 68
2020-10-28, 14:41:32, 94, 68
2020-10-28, 14:41:33, 94, 67
2020-10-28, 14:41:34, 94, 67
2020-10-28, 14:41:35, 94, 67
2020-10-28, 14:41:36, 94, 67
2020-10-28, 14:41:37, 94, 67
2020-10-28, 14:41:38, 94, 67
2020-10-28, 14:41:39, 94, 66
2020-10-28, 14:41:40, 94, 66
2020-10-28, 14:41:41, 94, 66
2020-10-28, 14:41:42, 94, 66
2020-10-28, 14:41:43, 94, 66
2020-10-28, 14:41:44, 94, 66
2020-10-28, 14:41:45, 94, 66
2020-10-28, 14:41:46, 94, 66
2020-10-28, 14:41:47, 94, 66
2020-10-28, 14:41:48, 94, 66
2020-10-28, 14:41:49, 94, 67
2020-10-28, 14:41:50, 94, 67
2020-10-28, 14:41:51, 94, 67
2020-10-28, 14:41:52, 94, 66
2020-10-28, 14:41:53, 93, 66
2020-10-28, 14:41:54, 93, 66
2020-10-28, 14:41:55, 93, 66
2020-10-28, 14:41:56, 93, 66
2020-10-28, 14:41:57, 93, 65
2020-10-28, 14:41:58, 93, 65
2020-10-28, 14:41:59, 93, 65
2020-10-28, 14:42:00, 93, 65
2020-10-28, 14:42:01, 93, 65
2020-10-28, 14:42:02, 93, 64
2020-10-28, 14:42:03, 94, 64
2020-10-28, 14:42:04, 94, 64
2020-10-28, 14:42:05, 94, 63
2020-10-28, 14:42:06, 94, 63
2020-10-28, 14:42:07, 94, 63
2020-10-28, 14:42:08, 94, 63
2020-10-28, 14:42:09, 94, 63
2020-10-28, 14:42:10, 94, 63
2020-10-28, 14:42:11, 94, 63
2020-10-28, 14:42:12, 93, 64
2020-10-28, 14:42:13, 93, 64
2020-10-28, 14:42:14, 93, 64
2020-10-28, 14:42:15, 93, 64
2020-10-28, 14:42:16, 93, 65
2020-10-28, 14:42:17, 93, 66
2020-10-28, 14:42:18, 93, 66
2020-10-28, 14:42:19, 93, 66
2020-10-28, 14:42:20, 93, 67
2020-10-28, 14:42:21, 94, 67
2020-10-28, 14:42:22, 94, 67
2020-10-28, 14:42:23, 94, 67
2020-10-28, 14:42:24, 94, 67
2020-10-28, 14:42:25, 94, 67
2020-10-28, 14:42:26, 94, 67
2020-10-28, 14:42:27, 94, 66
2020-10-28, 14:42:28, 94, 66
2020-10-28, 14:42:29, 94, 66
2020-10-28, 14:42:30, 94, 65
2020-10-28, 14:42:31, 94, 65
2020-10-28, 14:42:32, 94, 65
2020-10-28, 14:42:33, 93, 65
2020-10-28, 14:42:34, 93, 65
2020-10-28, 14:42:35, 93, 64
2020-10-28, 14:42:36, 93, 65
2020-10-28, 14:42:37, 93, 65
2020-10-28, 14:42:38, 93, 65
2020-10-28, 14:42:39, 93, 65
2020-10-28, 14:42:40, 93, 66
2020-10-28, 14:42:41, 93, 66
2020-10-28, 14:42:42, 93, 66
2020-10-28, 14:42:43, 93, 66
2020-10-28, 14:42:44, 94, 66
2020-10-28, 14:42:45, 94, 66
2020-10-28, 14:42:46, 94, 66
2020-10-28, 14:42:47, 94, 66
2020-10-28, 14:42:48, 94, 66
2020-10-28, 14:42:49, 95, 66
2020-10-28, 14:42:50, 95, 66
2020-10-28, 14:42:51, 95, 66
2020-10-28, 14:42:52, 95, 66
2020-10-28, 14:42:53, 95, 66
2020-10-28, 14:42:54, 95, 66
2020-10-28, 14:42:55, 95, 66
2020-10-28, 14:42:56, 95, 66
2020-10-28, 14:42:57, 95, 66
